NomeIntesta;idEEFattura;dtIniz;annoComp;meseComp;tipoSpesa;prezzoUnit;quantita;importo
"alessandro";1730;"2021-04-01";2021;"2021-04";"P";0,87;4,50;3,91
"alessandro";1730;"2021-04-01";2021;"2021-04";"R";0,06;186,00;11,00
"alessandro";1732;"2023-07-01";2023;"2023-07";"PU";0,11;170,00;19,06
"alessandro";1732;"2023-07-01";2023;"2023-07";"S1";0,01;170,00;1,73
"alessandro";1732;"2023-07-01";2023;"2023-07";"P";0,90;4,50;4,04
"alessandro";1732;"2023-07-01";2023;"2023-07";"R";0,06;170,00;10,05
"alessandro";1732;"2023-08-01";2023;"2023-08";"PU";0,11;204,00;22,83
"alessandro";1732;"2023-08-01";2023;"2023-08";"PU";0,11;19,00;2,13
"alessandro";1732;"2023-08-01";2023;"2023-08";"S1";0,01;204,00;2,08
"alessandro";1732;"2023-08-01";2023;"2023-08";"S2";0,03;19,00;0,58
"alessandro";1732;"2023-08-01";2023;"2023-08";"P";0,90;4,50;4,04
"alessandro";1732;"2023-08-01";2023;"2023-08";"R";0,06;223,00;13,19
"alessandro";1733;"2023-05-01";2023;"2023-05";"PU";0,11;204,00;21,57
"alessandro";1733;"2023-05-01";2023;"2023-05";"PU";0,11;111,00;11,74
"alessandro";1733;"2023-05-01";2023;"2023-05";"S1";0,01;204,00;2,08
"alessandro";1733;"2023-05-01";2023;"2023-05";"S2";0,03;111,00;3,39
"alessandro";1733;"2023-05-01";2023;"2023-05";"P";0,90;4,50;4,04
"alessandro";1733;"2023-05-01";2023;"2023-05";"R";0,06;315,00;18,63
"alessandro";1733;"2023-06-01";2023;"2023-06";"PU";0,11;142,00;14,96
"alessandro";1733;"2023-06-01";2023;"2023-06";"S1";0,01;142,00;1,44
"alessandro";1733;"2023-06-01";2023;"2023-06";"P";0,87;4,50;3,91
"alessandro";1733;"2023-06-01";2023;"2023-06";"R";0,06;142,00;8,40
"alessandro";1735;"2023-09-01";2023;"2023-09";"PU";0,12;197,00;22,79
"alessandro";1735;"2023-09-01";2023;"2023-09";"PU";0,12;84,00;9,72
"alessandro";1735;"2023-09-01";2023;"2023-09";"S1";0,01;197,00;2,00
"alessandro";1735;"2023-09-01";2023;"2023-09";"S2";0,03;84,00;2,56
"alessandro";1735;"2023-09-01";2023;"2023-09";"P";0,87;4,50;3,91
"alessandro";1735;"2023-09-01";2023;"2023-09";"R";0,06;281,00;16,62
"alessandro";1735;"2023-10-01";2023;"2023-10";"PU";0,13;204,00;27,39
"alessandro";1735;"2023-10-01";2023;"2023-10";"PU";0,13;141,00;18,93
"alessandro";1735;"2023-10-01";2023;"2023-10";"S1";0,01;204,00;1,75
"alessandro";1735;"2023-10-01";2023;"2023-10";"S2";0,03;141,00;3,62
"alessandro";1735;"2023-10-01";2023;"2023-10";"P";0,90;4,50;4,04
"alessandro";1735;"2023-10-01";2023;"2023-10";"R";0,06;345,00;20,40
"alessandro";1736;"2023-11-01";2023;"2023-11";"PU";0,12;197,00;23,98
"alessandro";1736;"2023-11-01";2023;"2023-11";"PU";0,12;157,00;19,11
"alessandro";1736;"2023-11-01";2023;"2023-11";"S1";0,01;197,00;1,69
"alessandro";1736;"2023-11-01";2023;"2023-11";"S2";0,03;157,00;4,03
"alessandro";1736;"2023-11-01";2023;"2023-11";"P";0,87;4,50;3,91
"alessandro";1736;"2023-11-01";2023;"2023-11";"R";0,06;354,00;20,93
"alessandro";1736;"2023-12-01";2023;"2023-12";"PU";0,12;204,00;23,55
"alessandro";1736;"2023-12-01";2023;"2023-12";"PU";0,12;174,00;20,09
"alessandro";1736;"2023-12-01";2023;"2023-12";"S1";0,01;204,00;1,75
"alessandro";1736;"2023-12-01";2023;"2023-12";"S2";0,03;174,00;4,47
"alessandro";1736;"2023-12-01";2023;"2023-12";"P";0,90;4,50;4,04
